номер_заказа,дата_заказа,регион,категория,товар,цена,количество,выручка,тип_клиента,способ_оплаты
1001,2026-01-03,Север,Электроника,Беспроводная мышь,25,3,75,Новый,Карта
1002,2026-01-04,Юг,Электроника,Механическая клавиатура,80,2,160,Постоянный,Карта
1003,2026-01-04,Запад,Дом,Настольная лампа,30,4,120,Новый,Наличные
1004,2026-01-05,Восток,Дом,Офисное кресло,150,1,150,Постоянный,Карта
1005,2026-01-05,Север,Аксессуары,Кабель USB-C,10,8,80,Новый,Карта
1006,2026-01-06,Юг,Электроника,Веб-камера,60,2,120,Постоянный,Карта
1007,2026-01-06,Запад,Дом,Подставка для монитора,45,3,135,Новый,Наличные
1008,2026-01-07,Восток,Аксессуары,Чехол для ноутбука,35,2,70,Постоянный,Карта
1009,2026-01-07,Север,Электроника,Наушники с шумоподавлением,200,1,200,Новый,Карта
1010,2026-01-08,Юг,Дом,Очиститель воздуха,180,1,180,Постоянный,Карта
1011,2026-01-08,Запад,Аксессуары,Держатель для телефона,15,5,75,Новый,Наличные
1012,2026-01-09,Восток,Электроника,Портативная колонка,90,2,180,Постоянный,Карта
